25558;'Brick au boeuf';01;'entrées et plats composés';0106;'feuilletées et autres entrées';000000;'Non spécialisable';1430;342;1430;342;27;10,4;10,4;33,5;17;3,2;0;0;0;0;0;0;0;6,8;0;4,7;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;3,76;0;0;0,06;5,2;15;29,8;1,8;119;221;3,6;1510;1,53;28;9;0,28;6,6;0;0;3,1;0,07;0,15;1,58;0,48
25438;'Brick garni (garniture : crevettes, légumes, volaille, viande, poisson, etc.), fait maison, cuit';01;'entrées et plats composés';0106;'feuilletées et autres entrées';000000;'Non spécialisable';781;187;781;187;65,1;12,2;12,2;8,48;11,5;0,72;0;0;0;0;0;0;7,75;0,59;0;2,4;0;;2,77;3,02;4,96;0;0;0;0;0;0;0;0;0;0;0;0;0,033;0,035;85,3;1,41;32,8;0;0,13;1,03;12,9;21,5;0,15;115;183;9,35;565;0,9;45,7;88,2;0,51;4,95;0;0;2,93;0,057;0,12;2,9;0,6
25585;'Brochette de boeuf, cuite';01;'entrées et plats composés';0103;'plats composés';010301;'plats de viande sans garniture';583;139;583;139;69,2;21,9;21,9;0,33;5,2;0;0;0;0;0;0;0;0;3;0;1,83;0;;1,8;2,35;0,71;0,01;0,01;0,01;0,01;0,01;0,08;1,03;0,64;2,03;0,51;0,12;0,04;0,01;0,01;60,2;0,86;23;445;0,1;2,4;20;25;0,08;200;430;20;345;4,4;21;0;0,25;0,65;3,71;0;10,8;0,041;0,14;4,72;0,54
25540;'Brochette de crevettes';01;'entrées et plats composés';0103;'plats composés';010304;'plats de poisson sans garniture';396;93,5;396;93,5;75;18,5;18,5;1,5;1,5;0;0;0;0;0;0;0;0,13;0;0;2,71;0;;0,1;0,88;0,22;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,084;120;0,35;100;0;0,01;1,7;31,5;36,8;0,085;153;169;4,92;140;0,51;7,22;71,5;0,21;1,96;0;0;8,33;0,034;0,038;1,79;0,25
25539;'Brochette de poisson';01;'entrées et plats composés';0103;'plats composés';010304;'plats de poisson sans garniture';535;127;535;127;73,8;18;18;0,86;5,71;0,85;0;0;0;0;0;0;0,012;0,29;0;1,25;0;;0,98;3,14;1;0;0;0;0;0;0;0;0;0;0;0;0;0,11;0,23;43,5;0,56;26,5;0;0,026;0,72;65,5;28,4;0,049;190;320;11,7;223;0,25;18,4;59,8;1,41;1,02;0;0;6,33;0,074;0,067;2,84;0,29
25586;'Brochette de volaille, cuite';01;'entrées et plats composés';0103;'plats composés';010301;'plats de viande sans garniture';576;137;576;137;68;23,1;23,1;1,39;4;0;0;0;0;0;0;0;0;3;0;2,05;0;;1,02;1,69;0,99;0,01;0,01;0,01;0,01;0,02;0,03;0,73;0,24;1,48;0,87;0,09;0,03;0,01;0,01;76,9;0,75;13;465;0,05;0,61;20;33;0,1;230;520;20;299;1,1;21;0;0,25;0,74;2,41;0;8,49;0,071;0,07;8,91;1,71
25416;'Burger au poisson, provenant de fast food';01;'entrées et plats composés';0105;'sandwichs';000000;'Non spécialisable';1100;263;1100;263;46,1;12,2;12,2;26,7;11,5;3,9;1,2;0;1,3;0,2;0,7;0,4;21,8;1,5;0;1,75;0;0,24;4,92;2,87;2,99;0,22;0,15;0,09;0,19;0,23;0,73;2,37;0,75;2,58;2,96;0,03;0,01;0,01;0,01;26;1,1;55;645;0,06;0,49;20;22;0,25;140;210;20;440;0,59;21;0;0,81;2,83;9,23;0;0,5;0,049;0,01;0,63;0,33
25502;'Burger au poulet';01;'entrées et plats composés';0105;'sandwichs';000000;'Non spécialisable';1040;249;1040;249;49;12,7;12,7;23,8;11;2,9;1,16;0;1,16;0,2;0,58;0,2;18,4;1,2;0;1,93;0;0,33;1,88;5,84;2,66;0,04;0,03;0,02;0,03;0,05;0,14;1,07;0,37;5,45;2,21;0,45;0,01;0,01;0,01;27,7;1,16;66;747;0,07;0,6;20;22;0,25;170;220;20;463;0,71;21;0;0,25;2,1;9,45;0;0,5;0,1;0,051;3,67;0,79
25459;'Burritos';01;'entrées et plats composés';0104;'pizzas, tartes et crêpes salées';000000;'Non spécialisable';709;170;709;170;62,5;8;8;14,3;8,5;1,9;0,76;0;0,86;0,2;0,29;0,4;6,8;1,9;0;1,49;0;;4,33;2,93;0,87;0,081;0,063;0,027;0,072;0,081;0,41;2,33;1,08;2,93;0,7;0,11;0,052;0,0045;0,0045;29,1;0,75;88;376;0,07;1,1;20;20;0,14;170;260;50;299;1,8;21;470;0,5;0,58;8;0;6,5;0,098;0,07;1,7;0,26
7814;'Cake salé (garniture : fromage, légumes, viande, poisson, volaille, etc.), préemballé';01;'entrées et plats composés';0106;'feuilletées et autres entrées';000000;'Non spécialisable';1340;321;1340;321;42,2;11,6;11,6;25,6;18,4;2,68;0,29;0,1;0,38;0,59;0,82;0,6;22,9;2,3;0;2,35;0;0,53;4,68;8,05;4,61;0,16;0,1;0,07;0,15;0,15;0,48;2,49;0,87;7,4;4;0,53;0,04;0,01;0,02;76,3;1,64;170;425;0,1;1,3;0;16,1;0,1;0;165;0;657;1,4;0;0;0;0;0;0;0;0;0;0;0
25058;'Canard en sauce (poivre vert, chasseur, etc.), préemballé';01;'entrées et plats composés';0103;'plats composés';010301;'plats de viande sans garniture';605;145;605;145;0;9,55;9,55;10,2;7,3;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26257;'Carottes râpées, avec sauce, préemballées';01;'entrées et plats composés';0101;'salades composées et crudités';000000;'Non spécialisable';0;0;0;0;84,7;0,98;0,98;6,01;5;5,2;0,54;0;0,77;0,2;0,23;3,2;0;3,64;0;1,3;0;0;0,43;2,53;1,82;0;0;0;0;0;0;0;0;0;0,97;0,24;0;0;0;0;0,67;31;0;0;0;0;0;0;0;0;0;264;0;0;0;0;0;0;0;0;0;0;0;0
25538;'Carpaccio de boeuf, avec marinade';01;'entrées et plats composés';0103;'plats composés';010301;'plats de viande sans garniture';1120;271;1120;271;57;15,2;15,2;0,55;23;0,5;0;0;0;0;0;0;0,0024;0,36;0;2,04;0;;7,38;10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55,6;1,12;112;0;0,1;1,84;9,12;22,6;0,064;187;242;5,84;437;2,79;23,6;98,3;0,38;3,18;0;0;5,87;0,088;0,17;2,11;0,28
25099;'Cassoulet au canard ou oie, appertisé';01;'entrées et plats composés';0103;'plats composés';010303;'plats de viande et légumes/légumineuses';672;161;672;161;68,6;10,5;10,5;10,1;7,86;1,09;0;0;0,2;0;0,2;0,4;0;3,86;0;1,6;0;;2,43;2,61;0,88;0,01;0,01;0,01;0,01;0,01;0,06;1,31;0,53;2,26;0,73;0,11;0;0;0,01;0;1,05;0;570;0;0;0;0;0;0;307;0;416;0;0;0;0;0;0;0;0;0;0;0;0
25098;'Cassoulet au porc, appertisé';01;'entrées et plats composés';0103;'plats composés';010303;'plats de viande et légumes/légumineuses';552;132;552;132;71,1;8,3;8,3;8,6;6,3;1,8;0;0;0;0;0;0;0;4;0;1,67;0;;2,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,1;0;474;0;0;0;0;0;0;293;0;500;0;0;0;0;0;0;0;0;0;0;0;0
25002;'Cassoulet, appertisé';01;'entrées et plats composés';0103;'plats composés';010303;'plats de viande et légumes/légumineuses';539;129;539;129;70,6;8,06;8,06;9,41;5,77;1,06;0,3;0;0,2;0;0,28;0,29;7,3;3,55;0;1,63;0;;2,07;2,63;0,8;0,05;0,05;0,05;0,0055;0,0055;0,063;1,37;0,63;0;0,53;0,14;0;0;0;21,3;0,97;45,7;495;0,14;1,23;6;34,8;0,22;107;289;10;388;0,88;3,5;0;0,5;0,18;0;0;2,94;0,083;0,057;1,25;0,16
25605;'Champignons à la grecque, appertisés';01;'entrées et plats composés';0101;'salades composées et crudités';000000;'Non spécialisable';0;0;0;0;85,2;2,08;2,08;3,95;3,55;2,38;0,7;0;1;0,3;0,3;0,3;0,99;2,35;0;1,65;0;0;0,23;0,2;1,67;0;0;0;0;0;0;0;0;0;0;0,026;0;0;0;0,11;1,26;27;0;0,17;1,06;2,46;13,5;0,13;64,1;277;1,79;500;0,4;0;747;0;1,08;0;0;6,67;0,056;0,21;1,84;0,88
25414;'Cheeseburger, provenant de fast food';01;'entrées et plats composés';0105;'sandwichs';000000;'Non spécialisable';1120;268;1120;267;46,3;13,7;14;23,1;12,9;5,47;1,32;0,15;1,97;0,2;0,5;0,59;17,7;1,8;0;2,18;0;0;5,07;5,37;1,3;0,049;0,043;0,032;0,076;0,098;0,53;2,72;1,28;3,81;0,87;0,18;0,011;0;0;25;1,33;91,3;425;0,1;1,2;15;21,3;0,2;142;198;0;528;2,1;50;55;0,1;0,09;5,5;0;0,4;0,32;0,19;3,51;0,42
